HNode,LNode,Time,Makespan,SOC,SOL
HNode: 57, LNode: 263, solved: 2ms, makespan: 56, sum_of_costs: 1358, sum_of_loss: 1249
HNode: 46, LNode: 206, solved: 1ms, makespan: 45, sum_of_costs: 1130, sum_of_loss: 1042
HNode: 53, LNode: 249, solved: 1ms, makespan: 52, sum_of_costs: 1399, sum_of_loss: 1254
HNode: 78, LNode: 373, solved: 2ms, makespan: 72, sum_of_costs: 1304, sum_of_loss: 1223
HNode: 50, LNode: 227, solved: 1ms, makespan: 49, sum_of_costs: 1098, sum_of_loss: 989
HNode: 48, LNode: 212, solved: 1ms, makespan: 47, sum_of_costs: 1215, sum_of_loss: 1104
HNode: 61, LNode: 248, solved: 1ms, makespan: 59, sum_of_costs: 1311, sum_of_loss: 1197
HNode: 45, LNode: 199, solved: 1ms, makespan: 44, sum_of_costs: 1435, sum_of_loss: 1255
HNode: 77, LNode: 348, solved: 1ms, makespan: 71, sum_of_costs: 1614, sum_of_loss: 1418
HNode: 48, LNode: 221, solved: 1ms, makespan: 47, sum_of_costs: 1126, sum_of_loss: 1047
HNode: 53, LNode: 242, solved: 1ms, makespan: 52, sum_of_costs: 1100, sum_of_loss: 1001
HNode: 43, LNode: 196, solved: 1ms, makespan: 42, sum_of_costs: 1181, sum_of_loss: 1086
HNode: 49, LNode: 218, solved: 1ms, makespan: 48, sum_of_costs: 1322, sum_of_loss: 1210
HNode: 59, LNode: 266, solved: 1ms, makespan: 58, sum_of_costs: 1266, sum_of_loss: 1150
HNode: 46, LNode: 204, solved: 1ms, makespan: 45, sum_of_costs: 1253, sum_of_loss: 1129
HNode: 102, LNode: 842, solved: 2ms, makespan: 53, sum_of_costs: 1441, sum_of_loss: 1287
HNode: 54, LNode: 255, solved: 1ms, makespan: 52, sum_of_costs: 1398, sum_of_loss: 1248
HNode: 64, LNode: 339, solved: 1ms, makespan: 59, sum_of_costs: 1229, sum_of_loss: 1141
HNode: 47, LNode: 214, solved: 1ms, makespan: 46, sum_of_costs: 1096, sum_of_loss: 1058
HNode: 56, LNode: 260, solved: 1ms, makespan: 55, sum_of_costs: 1441, sum_of_loss: 1309
HNode: 57, LNode: 254, solved: 1ms, makespan: 56, sum_of_costs: 1323, sum_of_loss: 1194
HNode: 49, LNode: 215, solved: 1ms, makespan: 48, sum_of_costs: 1093, sum_of_loss: 1024
HNode: 56, LNode: 254, solved: 1ms, makespan: 55, sum_of_costs: 1385, sum_of_loss: 1265
HNode: 46, LNode: 210, solved: 1ms, makespan: 45, sum_of_costs: 1240, sum_of_loss: 1137
HNode: 59, LNode: 266, solved: 1ms, makespan: 58, sum_of_costs: 1182, sum_of_loss: 1049
HNode: 58, LNode: 258, solved: 1ms, makespan: 57, sum_of_costs: 1361, sum_of_loss: 1136
HNode: 70, LNode: 335, solved: 1ms, makespan: 69, sum_of_costs: 1194, sum_of_loss: 1070
HNode: 44, LNode: 197, solved: 1ms, makespan: 43, sum_of_costs: 1270, sum_of_loss: 1209
HNode: 48, LNode: 220, solved: 1ms, makespan: 47, sum_of_costs: 1184, sum_of_loss: 1059
