HNode,LNode,Time,Makespan,SOC,SOL
HNode: 57, LNode: 266, solved: 1ms, makespan: 56, sum_of_costs: 1418, sum_of_loss: 1313
HNode: 46, LNode: 217, solved: 1ms, makespan: 45, sum_of_costs: 1218, sum_of_loss: 1098
HNode: 51, LNode: 236, solved: 3ms, makespan: 50, sum_of_costs: 1308, sum_of_loss: 1229
HNode: 50, LNode: 228, solved: 1ms, makespan: 49, sum_of_costs: 1142, sum_of_loss: 1092
HNode: 50, LNode: 234, solved: 2ms, makespan: 49, sum_of_costs: 1111, sum_of_loss: 1004
HNode: 48, LNode: 219, solved: 1ms, makespan: 47, sum_of_costs: 1222, sum_of_loss: 1086
HNode: 48, LNode: 222, solved: 1ms, makespan: 47, sum_of_costs: 1227, sum_of_loss: 1146
HNode: 48, LNode: 226, solved: 1ms, makespan: 47, sum_of_costs: 1425, sum_of_loss: 1283
HNode: 46, LNode: 217, solved: 1ms, makespan: 45, sum_of_costs: 1351, sum_of_loss: 1237
HNode: 47, LNode: 210, solved: 1ms, makespan: 46, sum_of_costs: 1115, sum_of_loss: 1025
HNode: 53, LNode: 242, solved: 1ms, makespan: 52, sum_of_costs: 1120, sum_of_loss: 1007
HNode: 42, LNode: 186, solved: 1ms, makespan: 41, sum_of_costs: 1126, sum_of_loss: 1071
HNode: 49, LNode: 212, solved: 1ms, makespan: 48, sum_of_costs: 1416, sum_of_loss: 1249
HNode: 56, LNode: 257, solved: 1ms, makespan: 55, sum_of_costs: 1239, sum_of_loss: 1140
HNode: 46, LNode: 211, solved: 1ms, makespan: 45, sum_of_costs: 1236, sum_of_loss: 1164
HNode: 63, LNode: 402, solved: 1ms, makespan: 49, sum_of_costs: 1339, sum_of_loss: 1243
HNode: 50, LNode: 218, solved: 1ms, makespan: 49, sum_of_costs: 1376, sum_of_loss: 1224
HNode: 56, LNode: 244, solved: 1ms, makespan: 54, sum_of_costs: 1279, sum_of_loss: 1154
HNode: 45, LNode: 203, solved: 1ms, makespan: 44, sum_of_costs: 1126, sum_of_loss: 1067
HNode: 64, LNode: 311, solved: 1ms, makespan: 62, sum_of_costs: 1488, sum_of_loss: 1327
HNode: 55, LNode: 249, solved: 1ms, makespan: 54, sum_of_costs: 1371, sum_of_loss: 1216
HNode: 46, LNode: 204, solved: 1ms, makespan: 45, sum_of_costs: 1080, sum_of_loss: 1018
HNode: 52, LNode: 241, solved: 1ms, makespan: 51, sum_of_costs: 1436, sum_of_loss: 1296
HNode: 46, LNode: 205, solved: 1ms, makespan: 45, sum_of_costs: 1251, sum_of_loss: 1159
HNode: 56, LNode: 259, solved: 1ms, makespan: 55, sum_of_costs: 1231, sum_of_loss: 1065
HNode: 52, LNode: 240, solved: 1ms, makespan: 51, sum_of_costs: 1209, sum_of_loss: 1115
HNode: 50, LNode: 236, solved: 1ms, makespan: 49, sum_of_costs: 1080, sum_of_loss: 1021
HNode: 44, LNode: 206, solved: 1ms, makespan: 43, sum_of_costs: 1224, sum_of_loss: 1139
HNode: 45, LNode: 202, solved: 1ms, makespan: 44, sum_of_costs: 1168, sum_of_loss: 1054
HNode: 45, LNode: 220, solved: 1ms, makespan: 43, sum_of_costs: 1208, sum_of_loss: 1122
HNode: 52, LNode: 232, solved: 1ms, makespan: 51, sum_of_costs: 1274, sum_of_loss: 1146
HNode: 46, LNode: 218, solved: 1ms, makespan: 45, sum_of_costs: 1322, sum_of_loss: 1265
HNode: 50, LNode: 232, solved: 1ms, makespan: 49, sum_of_costs: 1295, sum_of_loss: 1148
HNode: 52, LNode: 239, solved: 1ms, makespan: 51, sum_of_costs: 1335, sum_of_loss: 1254
HNode: 47, LNode: 201, solved: 1ms, makespan: 46, sum_of_costs: 1372, sum_of_loss: 1280
HNode: 49, LNode: 213, solved: 1ms, makespan: 48, sum_of_costs: 1258, sum_of_loss: 1189
HNode: 50, LNode: 231, solved: 1ms, makespan: 49, sum_of_costs: 1444, sum_of_loss: 1237
HNode: 46, LNode: 211, solved: 1ms, makespan: 45, sum_of_costs: 1283, sum_of_loss: 1245
HNode: 44, LNode: 201, solved: 1ms, makespan: 43, sum_of_costs: 1326, sum_of_loss: 1187
HNode: 46, LNode: 216, solved: 1ms, makespan: 45, sum_of_costs: 1315, sum_of_loss: 1172
HNode: 45, LNode: 208, solved: 1ms, makespan: 44, sum_of_costs: 1185, sum_of_loss: 1141
HNode: 51, LNode: 224, solved: 1ms, makespan: 50, sum_of_costs: 1216, sum_of_loss: 1127
HNode: 44, LNode: 198, solved: 1ms, makespan: 43, sum_of_costs: 1304, sum_of_loss: 1206
HNode: 42, LNode: 186, solved: 1ms, makespan: 41, sum_of_costs: 1135, sum_of_loss: 1069
HNode: 48, LNode: 218, solved: 1ms, makespan: 47, sum_of_costs: 1239, sum_of_loss: 1176
HNode: 45, LNode: 203, solved: 1ms, makespan: 44, sum_of_costs: 1245, sum_of_loss: 1143
HNode: 42, LNode: 183, solved: 1ms, makespan: 41, sum_of_costs: 1242, sum_of_loss: 1199
HNode: 69, LNode: 311, solved: 1ms, makespan: 67, sum_of_costs: 1431, sum_of_loss: 1296
HNode: 49, LNode: 231, solved: 1ms, makespan: 48, sum_of_costs: 1234, sum_of_loss: 1103
HNode: 54, LNode: 248, solved: 1ms, makespan: 53, sum_of_costs: 1302, sum_of_loss: 1193
HNode: 46, LNode: 203, solved: 1ms, makespan: 45, sum_of_costs: 1294, sum_of_loss: 1156
HNode: 50, LNode: 233, solved: 1ms, makespan: 49, sum_of_costs: 1247, sum_of_loss: 1139
HNode: 55, LNode: 251, solved: 1ms, makespan: 54, sum_of_costs: 1372, sum_of_loss: 1251
HNode: 45, LNode: 199, solved: 1ms, makespan: 44, sum_of_costs: 1163, sum_of_loss: 1117
HNode: 48, LNode: 218, solved: 1ms, makespan: 47, sum_of_costs: 1368, sum_of_loss: 1277
HNode: 47, LNode: 207, solved: 1ms, makespan: 46, sum_of_costs: 1234, sum_of_loss: 1163
HNode: 50, LNode: 237, solved: 1ms, makespan: 49, sum_of_costs: 1363, sum_of_loss: 1212
