HNode,LNode,Time,Makespan,SOC,SOL
HNode: 57, LNode: 263, solved: 7ms, makespan: 56, sum_of_costs: 1439, sum_of_loss: 1314
HNode: 46, LNode: 215, solved: 6ms, makespan: 45, sum_of_costs: 1236, sum_of_loss: 1115
HNode: 51, LNode: 234, solved: 2ms, makespan: 50, sum_of_costs: 1360, sum_of_loss: 1222
HNode: 50, LNode: 219, solved: 1ms, makespan: 49, sum_of_costs: 1191, sum_of_loss: 1116
HNode: 50, LNode: 237, solved: 1ms, makespan: 49, sum_of_costs: 1156, sum_of_loss: 1027
HNode: 48, LNode: 224, solved: 1ms, makespan: 47, sum_of_costs: 1228, sum_of_loss: 1102
HNode: 48, LNode: 222, solved: 1ms, makespan: 47, sum_of_costs: 1245, sum_of_loss: 1158
HNode: 45, LNode: 192, solved: 1ms, makespan: 44, sum_of_costs: 1284, sum_of_loss: 1247
HNode: 44, LNode: 209, solved: 1ms, makespan: 43, sum_of_costs: 1348, sum_of_loss: 1200
HNode: 47, LNode: 209, solved: 1ms, makespan: 46, sum_of_costs: 1151, sum_of_loss: 1036
HNode: 53, LNode: 239, solved: 1ms, makespan: 52, sum_of_costs: 1196, sum_of_loss: 1050
HNode: 42, LNode: 185, solved: 1ms, makespan: 41, sum_of_costs: 1199, sum_of_loss: 1112
HNode: 50, LNode: 226, solved: 1ms, makespan: 49, sum_of_costs: 1446, sum_of_loss: 1270
HNode: 56, LNode: 258, solved: 1ms, makespan: 55, sum_of_costs: 1229, sum_of_loss: 1129
HNode: 46, LNode: 202, solved: 1ms, makespan: 45, sum_of_costs: 1266, sum_of_loss: 1154
HNode: 60, LNode: 352, solved: 1ms, makespan: 51, sum_of_costs: 1388, sum_of_loss: 1276
HNode: 49, LNode: 218, solved: 1ms, makespan: 48, sum_of_costs: 1320, sum_of_loss: 1209
HNode: 51, LNode: 239, solved: 1ms, makespan: 50, sum_of_costs: 1237, sum_of_loss: 1124
HNode: 45, LNode: 202, solved: 1ms, makespan: 44, sum_of_costs: 1113, sum_of_loss: 1067
HNode: 52, LNode: 236, solved: 1ms, makespan: 51, sum_of_costs: 1431, sum_of_loss: 1288
HNode: 55, LNode: 251, solved: 1ms, makespan: 54, sum_of_costs: 1391, sum_of_loss: 1240
HNode: 46, LNode: 210, solved: 1ms, makespan: 45, sum_of_costs: 1097, sum_of_loss: 1033
HNode: 52, LNode: 233, solved: 1ms, makespan: 51, sum_of_costs: 1415, sum_of_loss: 1304
HNode: 46, LNode: 210, solved: 1ms, makespan: 45, sum_of_costs: 1248, sum_of_loss: 1146
HNode: 56, LNode: 260, solved: 1ms, makespan: 55, sum_of_costs: 1209, sum_of_loss: 1069
HNode: 52, LNode: 240, solved: 1ms, makespan: 51, sum_of_costs: 1365, sum_of_loss: 1131
HNode: 50, LNode: 235, solved: 1ms, makespan: 49, sum_of_costs: 1087, sum_of_loss: 1022
HNode: 44, LNode: 207, solved: 1ms, makespan: 43, sum_of_costs: 1228, sum_of_loss: 1156
HNode: 45, LNode: 197, solved: 1ms, makespan: 44, sum_of_costs: 1147, sum_of_loss: 1052
HNode: 45, LNode: 206, solved: 1ms, makespan: 43, sum_of_costs: 1167, sum_of_loss: 1101
HNode: 52, LNode: 233, solved: 1ms, makespan: 51, sum_of_costs: 1242, sum_of_loss: 1151
HNode: 45, LNode: 212, solved: 1ms, makespan: 44, sum_of_costs: 1371, sum_of_loss: 1294
HNode: 50, LNode: 232, solved: 1ms, makespan: 49, sum_of_costs: 1257, sum_of_loss: 1143
HNode: 52, LNode: 234, solved: 1ms, makespan: 51, sum_of_costs: 1271, sum_of_loss: 1224
HNode: 47, LNode: 213, solved: 1ms, makespan: 46, sum_of_costs: 1380, sum_of_loss: 1272
HNode: 49, LNode: 220, solved: 1ms, makespan: 48, sum_of_costs: 1292, sum_of_loss: 1212
