HNode,LNode,Time,Makespan,SOC,SOL
HNode: 62, LNode: 262, solved: 1ms, makespan: 60, sum_of_costs: 1421, sum_of_loss: 1340
HNode: 49, LNode: 222, solved: 1ms, makespan: 48, sum_of_costs: 1213, sum_of_loss: 1057
HNode: 70, LNode: 315, solved: 2ms, makespan: 68, sum_of_costs: 1424, sum_of_loss: 1262
HNode: 50, LNode: 226, solved: 1ms, makespan: 49, sum_of_costs: 1170, sum_of_loss: 1107
HNode: 65, LNode: 331, solved: 1ms, makespan: 59, sum_of_costs: 1252, sum_of_loss: 1081
HNode: 48, LNode: 208, solved: 1ms, makespan: 47, sum_of_costs: 1249, sum_of_loss: 1083
HNode: 68, LNode: 392, solved: 1ms, makespan: 57, sum_of_costs: 1304, sum_of_loss: 1170
HNode: 49, LNode: 220, solved: 1ms, makespan: 48, sum_of_costs: 1449, sum_of_loss: 1277
HNode: 52, LNode: 230, solved: 1ms, makespan: 50, sum_of_costs: 1442, sum_of_loss: 1252
HNode: 47, LNode: 205, solved: 1ms, makespan: 46, sum_of_costs: 1106, sum_of_loss: 1035
HNode: 53, LNode: 237, solved: 1ms, makespan: 52, sum_of_costs: 1127, sum_of_loss: 1022
HNode: 51, LNode: 218, solved: 1ms, makespan: 50, sum_of_costs: 1211, sum_of_loss: 1120
HNode: 49, LNode: 210, solved: 1ms, makespan: 48, sum_of_costs: 1395, sum_of_loss: 1230
HNode: 60, LNode: 271, solved: 1ms, makespan: 59, sum_of_costs: 1222, sum_of_loss: 1131
HNode: 62, LNode: 268, solved: 1ms, makespan: 61, sum_of_costs: 1365, sum_of_loss: 1203
HNode: 91, LNode: 785, solved: 2ms, makespan: 54, sum_of_costs: 1387, sum_of_loss: 1257
HNode: 72, LNode: 319, solved: 1ms, makespan: 70, sum_of_costs: 1500, sum_of_loss: 1271
HNode: 62, LNode: 252, solved: 1ms, makespan: 60, sum_of_costs: 1288, sum_of_loss: 1184
HNode: 69, LNode: 319, solved: 1ms, makespan: 66, sum_of_costs: 1212, sum_of_loss: 1154
HNode: 69, LNode: 331, solved: 1ms, makespan: 67, sum_of_costs: 1488, sum_of_loss: 1348
HNode: 61, LNode: 274, solved: 1ms, makespan: 60, sum_of_costs: 1316, sum_of_loss: 1218
HNode: 46, LNode: 198, solved: 1ms, makespan: 45, sum_of_costs: 1091, sum_of_loss: 1021
HNode: 52, LNode: 229, solved: 1ms, makespan: 51, sum_of_costs: 1481, sum_of_loss: 1304
HNode: 47, LNode: 208, solved: 1ms, makespan: 46, sum_of_costs: 1300, sum_of_loss: 1156
HNode: 56, LNode: 263, solved: 1ms, makespan: 55, sum_of_costs: 1223, sum_of_loss: 1059
HNode: 55, LNode: 243, solved: 1ms, makespan: 54, sum_of_costs: 1288, sum_of_loss: 1128
HNode: 50, LNode: 226, solved: 1ms, makespan: 49, sum_of_costs: 1071, sum_of_loss: 1018
HNode: 44, LNode: 197, solved: 1ms, makespan: 43, sum_of_costs: 1183, sum_of_loss: 1130
HNode: 45, LNode: 197, solved: 1ms, makespan: 44, sum_of_costs: 1184, sum_of_loss: 1050
HNode: 46, LNode: 201, solved: 1ms, makespan: 45, sum_of_costs: 1178, sum_of_loss: 1097
HNode: 77, LNode: 327, solved: 1ms, makespan: 73, sum_of_costs: 1545, sum_of_loss: 1335
HNode: 78, LNode: 361, solved: 1ms, makespan: 76, sum_of_costs: 1527, sum_of_loss: 1349
HNode: 50, LNode: 228, solved: 1ms, makespan: 49, sum_of_costs: 1229, sum_of_loss: 1134
HNode: 52, LNode: 239, solved: 1ms, makespan: 51, sum_of_costs: 1335, sum_of_loss: 1241
HNode: 50, LNode: 217, solved: 1ms, makespan: 49, sum_of_costs: 1401, sum_of_loss: 1302
HNode: 52, LNode: 234, solved: 1ms, makespan: 51, sum_of_costs: 1265, sum_of_loss: 1202
HNode: 71, LNode: 314, solved: 1ms, makespan: 70, sum_of_costs: 1613, sum_of_loss: 1362
HNode: 47, LNode: 214, solved: 1ms, makespan: 46, sum_of_costs: 1338, sum_of_loss: 1240
HNode: 69, LNode: 295, solved: 1ms, makespan: 66, sum_of_costs: 1447, sum_of_loss: 1253
HNode: 65, LNode: 268, solved: 1ms, makespan: 64, sum_of_costs: 1358, sum_of_loss: 1224
HNode: 61, LNode: 290, solved: 1ms, makespan: 58, sum_of_costs: 1303, sum_of_loss: 1217
HNode: 51, LNode: 229, solved: 1ms, makespan: 50, sum_of_costs: 1184, sum_of_loss: 1111
HNode: 65, LNode: 270, solved: 1ms, makespan: 63, sum_of_costs: 1442, sum_of_loss: 1320
