HNode,LNode,Time,Makespan,SOC,SOL
HNode: 57, LNode: 260, solved: 8ms, makespan: 56, sum_of_costs: 1440, sum_of_loss: 1291
HNode: 46, LNode: 215, solved: 5ms, makespan: 45, sum_of_costs: 1102, sum_of_loss: 1036
HNode: 56, LNode: 258, solved: 5ms, makespan: 55, sum_of_costs: 1412, sum_of_loss: 1258
HNode: 50, LNode: 234, solved: 4ms, makespan: 49, sum_of_costs: 1149, sum_of_loss: 1087
HNode: 52, LNode: 231, solved: 5ms, makespan: 51, sum_of_costs: 1149, sum_of_loss: 1042
HNode: 48, LNode: 220, solved: 5ms, makespan: 47, sum_of_costs: 1208, sum_of_loss: 1086
HNode: 49, LNode: 230, solved: 5ms, makespan: 48, sum_of_costs: 1307, sum_of_loss: 1161
HNode: 45, LNode: 200, solved: 5ms, makespan: 44, sum_of_costs: 1381, sum_of_loss: 1255
HNode: 47, LNode: 212, solved: 5ms, makespan: 46, sum_of_costs: 1370, sum_of_loss: 1216
HNode: 47, LNode: 208, solved: 4ms, makespan: 46, sum_of_costs: 1110, sum_of_loss: 1027
HNode: 57, LNode: 265, solved: 4ms, makespan: 56, sum_of_costs: 1123, sum_of_loss: 1018
HNode: 46, LNode: 210, solved: 5ms, makespan: 45, sum_of_costs: 1175, sum_of_loss: 1104
HNode: 50, LNode: 226, solved: 5ms, makespan: 49, sum_of_costs: 1417, sum_of_loss: 1251
HNode: 56, LNode: 259, solved: 5ms, makespan: 55, sum_of_costs: 1291, sum_of_loss: 1154
HNode: 49, LNode: 218, solved: 5ms, makespan: 48, sum_of_costs: 1251, sum_of_loss: 1146
HNode: 48, LNode: 212, solved: 5ms, makespan: 47, sum_of_costs: 1344, sum_of_loss: 1233
HNode: 57, LNode: 268, solved: 5ms, makespan: 56, sum_of_costs: 1410, sum_of_loss: 1247
HNode: 54, LNode: 245, solved: 5ms, makespan: 53, sum_of_costs: 1267, sum_of_loss: 1155
HNode: 45, LNode: 201, solved: 4ms, makespan: 44, sum_of_costs: 1106, sum_of_loss: 1053
HNode: 56, LNode: 267, solved: 5ms, makespan: 54, sum_of_costs: 1415, sum_of_loss: 1265
HNode: 60, LNode: 269, solved: 5ms, makespan: 59, sum_of_costs: 1287, sum_of_loss: 1174
HNode: 46, LNode: 200, solved: 4ms, makespan: 45, sum_of_costs: 1097, sum_of_loss: 1041
HNode: 52, LNode: 243, solved: 5ms, makespan: 51, sum_of_costs: 1436, sum_of_loss: 1301
HNode: 48, LNode: 225, solved: 5ms, makespan: 47, sum_of_costs: 1299, sum_of_loss: 1168
HNode: 56, LNode: 257, solved: 4ms, makespan: 55, sum_of_costs: 1233, sum_of_loss: 1056
HNode: 54, LNode: 246, solved: 5ms, makespan: 53, sum_of_costs: 1278, sum_of_loss: 1143
HNode: 50, LNode: 226, solved: 5ms, makespan: 49, sum_of_costs: 1066, sum_of_loss: 1023
HNode: 44, LNode: 201, solved: 5ms, makespan: 43, sum_of_costs: 1249, sum_of_loss: 1164
HNode: 45, LNode: 207, solved: 4ms, makespan: 44, sum_of_costs: 1168, sum_of_loss: 1045
HNode: 42, LNode: 188, solved: 5ms, makespan: 41, sum_of_costs: 1226, sum_of_loss: 1108
HNode: 54, LNode: 244, solved: 5ms, makespan: 53, sum_of_costs: 1277, sum_of_loss: 1170
HNode: 45, LNode: 210, solved: 5ms, makespan: 44, sum_of_costs: 1360, sum_of_loss: 1287
HNode: 50, LNode: 230, solved: 5ms, makespan: 49, sum_of_costs: 1263, sum_of_loss: 1151
HNode: 56, LNode: 252, solved: 5ms, makespan: 55, sum_of_costs: 1330, sum_of_loss: 1245
HNode: 50, LNode: 228, solved: 5ms, makespan: 49, sum_of_costs: 1327, sum_of_loss: 1245
HNode: 49, LNode: 223, solved: 5ms, makespan: 48, sum_of_costs: 1260, sum_of_loss: 1194
HNode: 50, LNode: 221, solved: 5ms, makespan: 49, sum_of_costs: 1451, sum_of_loss: 1259
HNode: 48, LNode: 221, solved: 5ms, makespan: 47, sum_of_costs: 1300, sum_of_loss: 1244
HNode: 44, LNode: 201, solved: 5ms, makespan: 43, sum_of_costs: 1327, sum_of_loss: 1210
HNode: 50, LNode: 225, solved: 5ms, makespan: 49, sum_of_costs: 1321, sum_of_loss: 1155
HNode: 45, LNode: 209, solved: 5ms, makespan: 44, sum_of_costs: 1242, sum_of_loss: 1152
HNode: 51, LNode: 226, solved: 5ms, makespan: 50, sum_of_costs: 1236, sum_of_loss: 1135
HNode: 46, LNode: 210, solved: 5ms, makespan: 45, sum_of_costs: 1362, sum_of_loss: 1207
HNode: 42, LNode: 186, solved: 4ms, makespan: 41, sum_of_costs: 1102, sum_of_loss: 1042
HNode: 50, LNode: 218, solved: 5ms, makespan: 49, sum_of_costs: 1252, sum_of_loss: 1146
HNode: 48, LNode: 224, solved: 5ms, makespan: 47, sum_of_costs: 1253, sum_of_loss: 1134
HNode: 42, LNode: 190, solved: 5ms, makespan: 41, sum_of_costs: 1277, sum_of_loss: 1226
HNode: 57, LNode: 249, solved: 5ms, makespan: 56, sum_of_costs: 1226, sum_of_loss: 1169
HNode: 50, LNode: 226, solved: 5ms, makespan: 49, sum_of_costs: 1278, sum_of_loss: 1116
HNode: 54, LNode: 248, solved: 5ms, makespan: 53, sum_of_costs: 1282, sum_of_loss: 1201
HNode: 54, LNode: 251, solved: 5ms, makespan: 53, sum_of_costs: 1353, sum_of_loss: 1206
